Edges count:,2112
Element count:,1024
¹,q,q*,|q - q*|
261,-2.08320e-01,-2.10796e-01,2.47627e-03
262,-2.08320e-01,-2.10796e-01,2.47628e-03
263,-2.08319e-01,-2.10796e-01,2.47636e-03
264,-2.08320e-01,-2.10796e-01,2.47627e-03
265,-2.08319e-01,-2.10796e-01,2.47639e-03
266,-2.08320e-01,-2.10796e-01,2.47627e-03
267,-2.08319e-01,-2.10796e-01,2.47635e-03
268,-2.08319e-01,-2.10796e-01,2.47632e-03
269,-2.08320e-01,-2.10796e-01,2.47630e-03
270,-2.08319e-01,-2.10796e-01,2.47632e-03
271,-2.08320e-01,-2.10796e-01,2.47630e-03
272,-2.08320e-01,-2.10796e-01,2.47629e-03
273,-2.08319e-01,-2.10796e-01,2.47631e-03
274,-2.08319e-01,-2.10796e-01,2.47631e-03
275,-2.08320e-01,-2.10796e-01,2.47629e-03
276,-2.08320e-01,-2.10796e-01,2.47628e-03
277,-2.08319e-01,-2.10796e-01,2.47631e-03
278,-2.08319e-01,-2.10796e-01,2.47635e-03
279,-2.08319e-01,-2.10796e-01,2.47636e-03
280,-2.08319e-01,-2.10796e-01,2.47634e-03
281,-2.08319e-01,-2.10796e-01,2.47631e-03
282,-2.08320e-01,-2.10796e-01,2.47630e-03
283,-2.08319e-01,-2.10796e-01,2.47633e-03
284,-2.08319e-01,-2.10796e-01,2.47631e-03
285,-2.08320e-01,-2.10796e-01,2.47629e-03
286,-2.08319e-01,-2.10796e-01,2.47632e-03
287,-2.08319e-01,-2.10796e-01,2.47639e-03
288,-2.08319e-01,-2.10796e-01,2.47630e-03
289,-2.08319e-01,-2.10796e-01,2.47635e-03
290,-2.08320e-01,-2.10796e-01,2.47627e-03
291,-2.08319e-01,-2.10796e-01,2.47636e-03
292,2.79415e-01,2.79415e-01,1.02525e-09
293,6.09224e-01,6.11682e-01,2.45822e-03
294,8.54677e-01,8.58934e-01,4.25751e-03
295,9.81560e-01,9.86808e-01,5.24750e-03
296,9.72171e-01,9.77530e-01,5.35892e-03
297,8.27767e-01,8.32391e-01,4.62320e-03
298,5.68387e-01,5.71561e-01,3.17479e-03
299,2.30057e-01,2.31294e-01,1.23703e-03
300,-1.40214e-01,-1.41120e-01,9.05624e-04
301,-4.90975e-01,-4.93920e-01,2.94499e-03
302,-7.73483e-01,-7.78073e-01,4.59049e-03
303,-9.48477e-01,-9.54086e-01,5.60851e-03
304,-9.91641e-01,-9.97495e-01,5.85416e-03
305,-8.96977e-01,-9.02268e-01,5.29094e-03
306,-6.77643e-01,-6.81639e-01,3.99543e-03
307,-3.64126e-01,-3.66273e-01,2.14646e-03
308,1.71441e-08,0.00000e+00,1.71441e-08
